model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,1,0.3953,0.3953,0.0852,0.7083,0.3964,0.3964,0.0856,0.7075
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,2,0.0189,0.0183,0.0046,0.0018,0.0115,0.0113,0.0017,0.0006
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,3,0.0035,0.0034,0.0010,0.0004,0.0061,0.0060,0.0009,0.0005
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,4,0.0028,0.0027,0.0006,0.0003,0.0048,0.0045,0.0019,0.0002
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,5,0.0024,0.0023,0.0006,0.0002,0.0083,0.0080,0.0009,0.0021
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,6,0.0018,0.0017,0.0004,0.0003,0.0034,0.0032,0.0013,0.0001
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,7,0.0015,0.0015,0.0004,0.0001,0.0025,0.0024,0.0003,0.0004
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,8,0.0012,0.0011,0.0003,0.0001,0.0092,0.0089,0.0016,0.0012
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,9,0.0012,0.0012,0.0003,0.0002,0.0027,0.0026,0.0002,0.0007
novel,20260606_071138,faceforensics++,novel_20260606_071138.pth,10,0.0010,0.0010,0.0002,0.0001,0.0031,0.0030,0.0002,0.0006
